name,weights,biases
conv1_1,3,5
conv1_2,11,13
conv2_1,21,23
conv2_2,29,31
conv3_1,39,41
conv3_2,47,49
conv3_3,55,57
conv4_1,65,67
conv4_2,73,75
conv4_3,81,83
conv5_1,105,107
conv5_2,113,115
conv5_3,121,123
fc6,131,133
fc7,139,141
conv6_1,157,159
conv6_2,165,167
conv7_1,183,185
conv7_2,191,193
conv8_1,209,211
conv8_2,217,219
conv9_1,235,237
conv9_2,243,245
conv10_1,261,263
conv4_3_norm,89,-1
conv10_2,269,271
conv4_3_norm_mbox_conf,289,291
fc7_mbox_conf,299,301
conv6_2_mbox_conf,309,311
conv7_2_mbox_conf,319,321
conv8_2_mbox_conf,329,331
conv9_2_mbox_conf,339,341
conv10_2_mbox_conf,349,351
conv4_3_norm_mbox_loc,93,95
fc7_mbox_loc,147,149
conv6_2_mbox_loc,173,175
conv7_2_mbox_loc,199,201
conv8_2_mbox_loc,225,227
conv9_2_mbox_loc,251,253
conv10_2_mbox_loc,277,279
